"word",count
"artificiality",7
"proletarianism",7
"desagreeability",7
"autobiographical",7
"sentimentalization",7
"basidiomycetous",7
"conceptualization",7
"superficiality",7
"indefeasibility",7
"decriminalization",7
"abdominovesical",7
"ureterostenosis",7
"disproportionality",7
"academicianship",7
"avalokiteshvara",7
"editorializing",7
"individualizing",7
"orycteropodidae",7
"heterogeneity",7
"hypoproteinemia",7
"hyperlipidemia",7
"infinitesimally",7
"interaffiliated",7
"immeasurability",7
"intercolonization",7
"marginocephalia",7
"quantifiability",7
"irrefutability",7
"cephalohematoma",7
"irreversibility",7
"imaginativeness",7
"manoeuvrability",7
"aribiflavinosis",7
"oversimplification",7
"unmanageability",7
"megalomaniacal",7
"cilioflagellata",7